"Order" "Family" "Genus" "Species" "tot" "grazed" "exclozed" "ch4_normal" "ch4_augmentation"
"1" "Gammaproteobacteria_X" "Gammaproteobacteria_XX" "Gammaproteobacteria_XXX" "Gammaproteobacteria_XXXX" 41217561761 34190759121 7026802640 25767766447 15201890561
"2" "Methylococcales" "Methylococcaceae" "Methylobacter" "Methylobacter_tundripaludum" 3445958748 1513261437 1932697311 0 2771381115
"3" "Methylococcales" "Methylococcaceae" "Methylobacter" "Methylobacter_X" 96217657926 70738427836 25479230090 31393633036 50038850370
"4" "Methylococcales" "Methylococcaceae" "Methylomicrobium" "Methylomicrobium_japanense-related" 25938232296 11244560235 14693672061 12474605264 5957585222
"12" "Methylococcales" "Methylococcales_X" "Methylococcales_XX" "Methylococcales_XXX" 581962795 382321804 199640991 191047780 340914676
