"Order" "Family" "Genus" "Species" "tot" "grazed" "exclozed" "ch4_normal" "ch4_augmentation"
"1" "Bacteria(MOB_like)_XXX" "Bacteria(MOB_like)_XXXX" "Bacteria(MOB_like)_XXXXX" "Bacteria(MOB_like)_XXXXXX" 2577407832 257189296 2320218536 1275208519 929870307
"2" "Methylococcales" "Methylococcaceae" "Methylobacter" "Methylobacter_tundripaludum" 1465647113 782612164 683034949 0 1178484402
"3" "Methylococcales" "Methylococcaceae" "Methylobacter" "Methylobacter_X" 43585443273 28139145791 15446297482 13154521320 17115637632
"5" "Methylococcales" "Methylococcaceae" "Methylomonas" "Methylomonas_X" 0 386221954 0 0 266216824
"6" "Methylococcales" "Methylococcaceae" "Methylosarcina" "Methylosarcina_X" 9571754323 7261599273 2310155050 5433743763 4026519340
"13" "Methylococcales" "Methylococcales_X" "Methylococcales_XX" "Methylococcales_XXX" 474030407 175539 87632914 55991217 63568413
"14" "unidentified" "unidentified_X" "unidentified_XX" "unidentified_XXX" 98818740 50448197 48370543 63403437 34837799
