"life" "Order" "Family" "Genus" "Species" "tot" "grazed" "exclozed" "ch4_normal" "ch4_augmentation"
"1" "life" "Bacteria(MOB_like)_XXX" "Bacteria(MOB_like)_XXXX" "Bacteria(MOB_like)_XXXXX" "Bacteria(MOB_like)_XXXXXX" 22865 0 21620 9535 10116
"2" "life" "Methylococcales" "Methylococcaceae" "Methylobacter" "Methylobacter_tundripaludum" 11577 4467 7110 0 9875
"3" "life" "Methylococcales" "Methylococcaceae" "Methylobacter" "Methylobacter_X" 285148 134702 150446 86556 130920
"5" "life" "Methylococcales" "Methylococcaceae" "Methylomonas" "Methylomonas_X" 0 2023 0 0 0
"6" "life" "Methylococcales" "Methylococcaceae" "Methylosarcina" "Methylosarcina_X" 55462 34995 20467 29116 25782
"11" "life" "Methylococcales" "Methylococcaceae" "Methylococcaceae_X" "Methylococcaceae_XX" 0 0 0 0 2314
"12" "life" "life_X" "life_XX" "life_XXX" "life_XXXX" 3769 1500 1491 654 269
